nr,name_de,name_en,typ1,typ2,region,generation,entwicklungsstufe,entwickelt_aus_de,entwickelt_aus_en,hp,angriff,verteidigung,spezial_angriff,spezial_verteidigung,initiative,sprite_url,sprite_bulbapedia
268,Panekon,Cascoon,Käfer,,Hoenn,III,1,,wurmple,50,35,55,25,25,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/268.png,https://archives.bulbagarden.net/media/upload/c/c6/0268Cascoon.png
269,Pudox,Dustox,Käfer,Gift,Hoenn,III,2,,cascoon,60,50,70,50,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/269.png,https://archives.bulbagarden.net/media/upload/4/49/0269Dustox.png
270,Loturzel,Lotad,Wasser,Pflanze,Hoenn,III,0,,,40,30,30,40,50,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/270.png,https://archives.bulbagarden.net/media/upload/5/5f/0270Lotad.png
271,Lombrero,Lombre,Wasser,Pflanze,Hoenn,III,1,,lotad,60,50,50,60,70,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/271.png,https://archives.bulbagarden.net/media/upload/a/a8/0271Lombre.png
272,Kappalores,Ludicolo,Wasser,Pflanze,Hoenn,III,2,,lombre,80,70,70,90,100,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/272.png,https://archives.bulbagarden.net/media/upload/6/63/0272Ludicolo.png
273,Samurzel,Seedot,Pflanze,,Hoenn,III,0,,,40,40,50,30,30,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/273.png,https://archives.bulbagarden.net/media/upload/1/13/0273Seedot.png
274,Blanas,Nuzleaf,Pflanze,Unlicht,Hoenn,III,1,,seedot,70,70,40,60,40,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/274.png,https://archives.bulbagarden.net/media/upload/a/a3/0274Nuzleaf.png
275,Tengulist,Shiftry,Pflanze,Unlicht,Hoenn,III,2,,nuzleaf,90,100,60,90,60,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/275.png,https://archives.bulbagarden.net/media/upload/4/43/0275Shiftry.png
276,Schwalbini,Taillow,Normal,Flug,Hoenn,III,0,,,40,55,30,30,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/276.png,https://archives.bulbagarden.net/media/upload/a/aa/0276Taillow.png
277,Schwalboss,Swellow,Normal,Flug,Hoenn,III,1,,taillow,60,85,60,75,50,125,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/277.png,https://archives.bulbagarden.net/media/upload/5/55/0277Swellow.png
278,Wingull,Wingull,Wasser,Flug,Hoenn,III,0,,,40,30,30,55,30,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/278.png,https://archives.bulbagarden.net/media/upload/4/4c/0278Wingull.png
279,Pelipper,Pelipper,Wasser,Flug,Hoenn,III,1,,wingull,60,50,100,95,70,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/279.png,https://archives.bulbagarden.net/media/upload/a/af/0279Pelipper.png
280,Trasla,Ralts,Psycho,Fee,Hoenn,III,0,,,28,25,25,45,35,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/280.png,https://archives.bulbagarden.net/media/upload/5/5c/0280Ralts.png
281,Kirlia,Kirlia,Psycho,Fee,Hoenn,III,1,,ralts,38,35,35,65,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/281.png,https://archives.bulbagarden.net/media/upload/6/64/0281Kirlia.png
282,Guardevoir,Gardevoir,Psycho,Fee,Hoenn,III,2,,kirlia,68,65,65,125,115,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/282.png,https://archives.bulbagarden.net/media/upload/f/f8/0282Gardevoir.png
283,Gehweiher,Surskit,Käfer,Wasser,Hoenn,III,0,,,40,30,32,50,52,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/283.png,https://archives.bulbagarden.net/media/upload/c/c4/0283Surskit.png
284,Maskeregen,Masquerain,Käfer,Flug,Hoenn,III,1,,surskit,70,60,62,100,82,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/284.png,https://archives.bulbagarden.net/media/upload/6/68/0284Masquerain.png
285,Knilz,Shroomish,Pflanze,,Hoenn,III,0,,,60,40,60,40,60,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/285.png,https://archives.bulbagarden.net/media/upload/2/22/0285Shroomish.png
286,Kapilz,Breloom,Pflanze,Kampf,Hoenn,III,1,,shroomish,60,130,80,60,60,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/286.png,https://archives.bulbagarden.net/media/upload/e/ee/0286Breloom.png
287,Bummelz,Slakoth,Normal,,Hoenn,III,0,,,60,60,60,35,35,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/287.png,https://archives.bulbagarden.net/media/upload/6/61/0287Slakoth.png
288,Muntier,Vigoroth,Normal,,Hoenn,III,1,,slakoth,80,80,80,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/288.png,https://archives.bulbagarden.net/media/upload/7/76/0288Vigoroth.png
289,Letarking,Slaking,Normal,,Hoenn,III,2,,vigoroth,150,160,100,95,65,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/289.png,https://archives.bulbagarden.net/media/upload/d/d9/0289Slaking.png
290,Nincada,Nincada,Käfer,Boden,Hoenn,III,0,,,31,45,90,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/290.png,https://archives.bulbagarden.net/media/upload/5/5f/0290Nincada.png
291,Ninjask,Ninjask,Käfer,Flug,Hoenn,III,1,,nincada,61,90,45,50,50,160,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/291.png,https://archives.bulbagarden.net/media/upload/5/5c/0291Ninjask.png
292,Ninjatom,Shedinja,Käfer,Geist,Hoenn,III,1,,nincada,1,90,45,30,30,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/292.png,https://archives.bulbagarden.net/media/upload/a/ad/0292Shedinja.png
293,Flurmel,Whismur,Normal,,Hoenn,III,0,,,64,51,23,51,23,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/293.png,https://archives.bulbagarden.net/media/upload/b/b7/0293Whismur.png
294,Krakeelo,Loudred,Normal,,Hoenn,III,1,,whismur,84,71,43,71,43,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/294.png,https://archives.bulbagarden.net/media/upload/b/b2/0294Loudred.png
295,Krawumms,Exploud,Normal,,Hoenn,III,2,,loudred,104,91,63,91,73,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/295.png,https://archives.bulbagarden.net/media/upload/a/a2/0295Exploud.png
296,Makuhita,Makuhita,Kampf,,Hoenn,III,0,,,72,60,30,20,30,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/296.png,https://archives.bulbagarden.net/media/upload/e/ea/0296Makuhita.png
297,Hariyama,Hariyama,Kampf,,Hoenn,III,1,,makuhita,144,120,60,40,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/297.png,https://archives.bulbagarden.net/media/upload/0/08/0297Hariyama.png
298,Azurill,Azurill,Normal,Fee,Hoenn,III,0,,,50,20,40,20,40,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/298.png,https://archives.bulbagarden.net/media/upload/7/75/0298Azurill.png
299,Nasgnet,Nosepass,Gestein,,Hoenn,III,0,,,30,45,135,45,90,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/299.png,https://archives.bulbagarden.net/media/upload/6/6c/0299Nosepass.png
300,Eneco,Skitty,Normal,,Hoenn,III,0,,,50,45,45,35,35,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/300.png,https://archives.bulbagarden.net/media/upload/7/75/0300Skitty.png
301,Enekoro,Delcatty,Normal,,Hoenn,III,1,,skitty,70,65,65,55,55,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/301.png,https://archives.bulbagarden.net/media/upload/d/d4/0301Delcatty.png
302,Zobiris,Sableye,Unlicht,Geist,Hoenn,III,0,,,50,75,75,65,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/302.png,https://archives.bulbagarden.net/media/upload/9/98/0302Sableye.png
303,Flunkifer,Mawile,Stahl,Fee,Hoenn,III,0,,,50,85,85,55,55,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/303.png,https://archives.bulbagarden.net/media/upload/7/77/0303Mawile.png
304,Stollunior,Aron,Stahl,Gestein,Hoenn,III,0,,,50,70,100,40,40,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/304.png,https://archives.bulbagarden.net/media/upload/3/38/0304Aron.png
305,Stollrak,Lairon,Stahl,Gestein,Hoenn,III,1,,aron,60,90,140,50,50,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/305.png,https://archives.bulbagarden.net/media/upload/2/20/0305Lairon.png
306,Stolloss,Aggron,Stahl,Gestein,Hoenn,III,2,,lairon,70,110,180,60,60,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/306.png,https://archives.bulbagarden.net/media/upload/1/1e/0306Aggron.png
307,Meditie,Meditite,Kampf,Psycho,Hoenn,III,0,,,30,40,55,40,55,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/307.png,https://archives.bulbagarden.net/media/upload/6/6e/0307Meditite.png
308,Meditalis,Medicham,Kampf,Psycho,Hoenn,III,1,,meditite,60,60,75,60,75,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/308.png,https://archives.bulbagarden.net/media/upload/a/a6/0308Medicham.png
309,Frizelbliz,Electrike,Elektro,,Hoenn,III,0,,,40,45,40,65,40,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/309.png,https://archives.bulbagarden.net/media/upload/4/40/0309Electrike.png
310,Voltenso,Manectric,Elektro,,Hoenn,III,1,,electrike,70,75,60,105,60,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/310.png,https://archives.bulbagarden.net/media/upload/a/a0/0310Manectric.png
311,Plusle,Plusle,Elektro,,Hoenn,III,0,,,60,50,40,85,75,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/311.png,https://archives.bulbagarden.net/media/upload/3/3b/0311Plusle.png
312,Minun,Minun,Elektro,,Hoenn,III,0,,,60,40,50,75,85,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/312.png,https://archives.bulbagarden.net/media/upload/a/a9/0312Minun.png
313,Volbeat,Volbeat,Käfer,,Hoenn,III,0,,,65,73,75,47,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/313.png,https://archives.bulbagarden.net/media/upload/6/67/0313Volbeat.png
314,Illumise,Illumise,Käfer,,Hoenn,III,0,,,65,47,75,73,85,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/314.png,https://archives.bulbagarden.net/media/upload/6/6f/0314Illumise.png
315,Roselia,Roselia,Pflanze,Gift,Hoenn,III,1,,budew,50,60,45,100,80,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/315.png,https://archives.bulbagarden.net/media/upload/c/cf/0315Roselia.png
316,Schluppuck,Gulpin,Gift,,Hoenn,III,0,,,70,43,53,43,53,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/316.png,https://archives.bulbagarden.net/media/upload/5/5c/0316Gulpin.png
317,Schlukwech,Swalot,Gift,,Hoenn,III,1,,gulpin,100,73,83,73,83,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/317.png,https://archives.bulbagarden.net/media/upload/7/79/0317Swalot.png
318,Kanivanha,Carvanha,Wasser,Unlicht,Hoenn,III,0,,,45,90,20,65,20,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/318.png,https://archives.bulbagarden.net/media/upload/e/e1/0318Carvanha.png
319,Tohaido,Sharpedo,Wasser,Unlicht,Hoenn,III,1,,carvanha,70,120,40,95,40,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/319.png,https://archives.bulbagarden.net/media/upload/a/a8/0319Sharpedo.png
320,Wailmer,Wailmer,Wasser,,Hoenn,III,0,,,130,70,35,70,35,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/320.png,https://archives.bulbagarden.net/media/upload/0/0c/0320Wailmer.png
321,Wailord,Wailord,Wasser,,Hoenn,III,1,,wailmer,170,90,45,90,45,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/321.png,https://archives.bulbagarden.net/media/upload/4/42/0321Wailord.png
322,Camaub,Numel,Feuer,Boden,Hoenn,III,0,,,60,60,40,65,45,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/322.png,https://archives.bulbagarden.net/media/upload/d/da/0322Numel.png
323,Camerupt,Camerupt,Feuer,Boden,Hoenn,III,1,,numel,70,100,70,105,75,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/323.png,https://archives.bulbagarden.net/media/upload/5/5d/0323Camerupt.png
324,Qurtel,Torkoal,Feuer,,Hoenn,III,0,,,70,85,140,85,70,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/324.png,https://archives.bulbagarden.net/media/upload/8/82/0324Torkoal.png
325,Spoink,Spoink,Psycho,,Hoenn,III,0,,,60,25,35,70,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/325.png,https://archives.bulbagarden.net/media/upload/2/2e/0325Spoink.png
326,Groink,Grumpig,Psycho,,Hoenn,III,1,,spoink,80,45,65,90,110,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/326.png,https://archives.bulbagarden.net/media/upload/e/e5/0326Grumpig.png
327,Pandir,Spinda,Normal,,Hoenn,III,0,,,60,60,60,60,60,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/327.png,https://archives.bulbagarden.net/media/upload/8/89/0327Spinda.png
328,Knacklion,Trapinch,Boden,,Hoenn,III,0,,,45,100,45,45,45,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/328.png,https://archives.bulbagarden.net/media/upload/a/ac/0328Trapinch.png
329,Vibrava,Vibrava,Boden,Drache,Hoenn,III,1,,trapinch,50,70,50,50,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/329.png,https://archives.bulbagarden.net/media/upload/4/4b/0329Vibrava.png
330,Libelldra,Flygon,Boden,Drache,Hoenn,III,2,,vibrava,80,100,80,80,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/330.png,https://archives.bulbagarden.net/media/upload/4/4a/0330Flygon.png
331,Tuska,Cacnea,Pflanze,,Hoenn,III,0,,,50,85,40,85,40,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/331.png,https://archives.bulbagarden.net/media/upload/1/1f/0331Cacnea.png
332,Noktuska,Cacturne,Pflanze,Unlicht,Hoenn,III,1,,cacnea,70,115,60,115,60,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/332.png,https://archives.bulbagarden.net/media/upload/8/89/0332Cacturne.png
333,Wablu,Swablu,Normal,Flug,Hoenn,III,0,,,45,40,60,40,75,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/333.png,https://archives.bulbagarden.net/media/upload/c/cd/0333Swablu.png
334,Altaria,Altaria,Drache,Flug,Hoenn,III,1,,swablu,75,70,90,70,105,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/334.png,https://archives.bulbagarden.net/media/upload/b/b2/0334Altaria.png
335,Sengo,Zangoose,Normal,,Hoenn,III,0,,,73,115,60,60,60,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/335.png,https://archives.bulbagarden.net/media/upload/9/93/0335Zangoose.png
336,Vipitis,Seviper,Gift,,Hoenn,III,0,,,73,100,60,100,60,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/336.png,https://archives.bulbagarden.net/media/upload/a/ae/0336Seviper.png
337,Lunastein,Lunatone,Gestein,Psycho,Hoenn,III,0,,,90,55,65,95,85,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/337.png,https://archives.bulbagarden.net/media/upload/a/ac/0337Lunatone.png
338,Sonnfel,Solrock,Gestein,Psycho,Hoenn,III,0,,,90,95,85,55,65,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/338.png,https://archives.bulbagarden.net/media/upload/1/13/0338Solrock.png
339,Schmerbe,Barboach,Wasser,Boden,Hoenn,III,0,,,50,48,43,46,41,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/339.png,https://archives.bulbagarden.net/media/upload/6/6f/0339Barboach.png
340,Welsar,Whiscash,Wasser,Boden,Hoenn,III,1,,barboach,110,78,73,76,71,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/340.png,https://archives.bulbagarden.net/media/upload/b/b0/0340Whiscash.png
341,Krebscorps,Corphish,Wasser,,Hoenn,III,0,,,43,80,65,50,35,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/341.png,https://archives.bulbagarden.net/media/upload/9/93/0341Corphish.png
342,Krebutack,Crawdaunt,Wasser,Unlicht,Hoenn,III,1,,corphish,63,120,85,90,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/342.png,https://archives.bulbagarden.net/media/upload/4/48/0342Crawdaunt.png
343,Puppance,Baltoy,Boden,Psycho,Hoenn,III,0,,,40,40,55,40,70,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/343.png,https://archives.bulbagarden.net/media/upload/6/62/0343Baltoy.png
344,Lepumentas,Claydol,Boden,Psycho,Hoenn,III,1,,baltoy,60,70,105,70,120,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/344.png,https://archives.bulbagarden.net/media/upload/3/39/0344Claydol.png
345,Liliep,Lileep,Gestein,Pflanze,Hoenn,III,0,,,66,41,77,61,87,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/345.png,https://archives.bulbagarden.net/media/upload/0/06/0345Lileep.png
346,Wielie,Cradily,Gestein,Pflanze,Hoenn,III,1,,lileep,86,81,97,81,107,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/346.png,https://archives.bulbagarden.net/media/upload/e/ee/0346Cradily.png
347,Anorith,Anorith,Gestein,Käfer,Hoenn,III,0,,,45,95,50,40,50,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/347.png,https://archives.bulbagarden.net/media/upload/c/c8/0347Anorith.png
348,Armaldo,Armaldo,Gestein,Käfer,Hoenn,III,1,,anorith,75,125,100,70,80,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/348.png,https://archives.bulbagarden.net/media/upload/1/15/0348Armaldo.png
349,Barschwa,Feebas,Wasser,,Hoenn,III,0,,,20,15,20,10,55,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/349.png,https://archives.bulbagarden.net/media/upload/a/af/0349Feebas.png
350,Milotic,Milotic,Wasser,,Hoenn,III,1,,feebas,95,60,79,100,125,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/350.png,https://archives.bulbagarden.net/media/upload/5/55/0350Milotic.png
351,Formeo,Castform,Normal,,Hoenn,III,0,,,70,70,70,70,70,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/351.png,https://archives.bulbagarden.net/media/upload/f/ff/0351Castform.png
352,Kecleon,Kecleon,Normal,,Hoenn,III,0,,,60,90,70,60,120,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/352.png,https://archives.bulbagarden.net/media/upload/b/b6/0352Kecleon.png
353,Shuppet,Shuppet,Geist,,Hoenn,III,0,,,44,75,35,63,33,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/353.png,https://archives.bulbagarden.net/media/upload/5/5d/0353Shuppet.png
354,Banette,Banette,Geist,,Hoenn,III,1,,shuppet,64,115,65,83,63,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/354.png,https://archives.bulbagarden.net/media/upload/7/72/0354Banette.png
355,Zwirrlicht,Duskull,Geist,,Hoenn,III,0,,,20,40,90,30,90,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png,https://archives.bulbagarden.net/media/upload/f/f6/0355Duskull.png
356,Zwirrklop,Dusclops,Geist,,Hoenn,III,1,,duskull,40,70,130,60,130,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png,https://archives.bulbagarden.net/media/upload/0/0e/0356Dusclops.png
357,Tropius,Tropius,Pflanze,Flug,Hoenn,III,0,,,99,68,83,72,87,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png,https://archives.bulbagarden.net/media/upload/3/3c/0357Tropius.png
358,Palimpalim,Chimecho,Psycho,,Hoenn,III,1,,chingling,75,50,80,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png,https://archives.bulbagarden.net/media/upload/5/55/0358Chimecho.png
359,Absol,Absol,Unlicht,,Hoenn,III,0,,,65,130,60,75,60,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png,https://archives.bulbagarden.net/media/upload/9/9b/0359Absol.png
360,Isso,Wynaut,Psycho,,Hoenn,III,0,,,95,23,48,23,48,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png,https://archives.bulbagarden.net/media/upload/b/be/0360Wynaut.png
361,Schneppke,Snorunt,Eis,,Hoenn,III,0,,,50,50,50,50,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png,https://archives.bulbagarden.net/media/upload/0/0c/0361Snorunt.png
362,Firnontor,Glalie,Eis,,Hoenn,III,1,,snorunt,80,80,80,80,80,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png,https://archives.bulbagarden.net/media/upload/8/88/0362Glalie.png
363,Seemops,Spheal,Eis,Wasser,Hoenn,III,0,,,70,40,50,55,50,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png,https://archives.bulbagarden.net/media/upload/6/6f/0363Spheal.png
364,Seejong,Sealeo,Eis,Wasser,Hoenn,III,1,,spheal,90,60,70,75,70,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png,https://archives.bulbagarden.net/media/upload/3/36/0364Sealeo.png
365,Walraisa,Walrein,Eis,Wasser,Hoenn,III,2,,sealeo,110,80,90,95,90,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png,https://archives.bulbagarden.net/media/upload/b/ba/0365Walrein.png
366,Perlu,Clamperl,Wasser,,Hoenn,III,0,,,35,64,85,74,55,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png,https://archives.bulbagarden.net/media/upload/a/af/0366Clamperl.png
367,Aalabyss,Huntail,Wasser,,Hoenn,III,1,,clamperl,55,104,105,94,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png,https://archives.bulbagarden.net/media/upload/a/a8/0367Huntail.png
368,Saganabyss,Gorebyss,Wasser,,Hoenn,III,1,,clamperl,55,84,105,114,75,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png,https://archives.bulbagarden.net/media/upload/8/87/0368Gorebyss.png
369,Relicanth,Relicanth,Wasser,Gestein,Hoenn,III,0,,,100,90,130,45,65,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png,https://archives.bulbagarden.net/media/upload/e/e8/0369Relicanth.png
370,Liebiskus,Luvdisc,Wasser,,Hoenn,III,0,,,43,30,55,40,65,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png,https://archives.bulbagarden.net/media/upload/d/d4/0370Luvdisc.png
371,Kindwurm,Bagon,Drache,,Hoenn,III,0,,,45,75,60,40,30,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png,https://archives.bulbagarden.net/media/upload/4/4a/0371Bagon.png
372,Draschel,Shelgon,Drache,,Hoenn,III,1,,bagon,65,95,100,60,50,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png,https://archives.bulbagarden.net/media/upload/c/cb/0372Shelgon.png
373,Brutalanda,Salamence,Drache,Flug,Hoenn,III,2,,shelgon,95,135,80,110,80,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png,https://archives.bulbagarden.net/media/upload/8/8a/0373Salamence.png
374,Tanhel,Beldum,Stahl,Psycho,Hoenn,III,0,,,40,55,80,35,60,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png,https://archives.bulbagarden.net/media/upload/a/aa/0374Beldum.png
375,Metang,Metang,Stahl,Psycho,Hoenn,III,1,,beldum,60,75,100,55,80,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png,https://archives.bulbagarden.net/media/upload/2/23/0375Metang.png
